Program Count,Avg. Wait Time,Avg. Turnaround Time,Avg. Completion Time,Avg. Response Time,Algorithm
5,2.411764706,7.529411765,21.94117647,2.411764706,fcfs
6,3.846153846,8.692307692,22.69230769,3.769230769,fcfs
7,5.590909091,10.63636364,25.04545455,5.590909091,fcfs
8,5.3125,9.8125,24.375,5.25,fcfs
9,9.647058824,14.58823529,29.64705882,9.647058824,fcfs
10,11.2,16.2,30.06666667,11.06666667,fcfs
5,3,8.235294118,22.52941176,1.058823529,rr
6,4.692307692,9.615384615,23.69230769,1.769230769,rr
7,7.272727273,12.36363636,26.81818182,2.727272727,rr
8,6.4375,10.9375,25.3125,2.5625,rr
9,12.58823529,17.52941176,32.41176471,5.176470588,rr
10,14.46666667,19.13333333,33.33333333,6.266666667,rr
5,2.294117647,7.411764706,21.82352941,2.294117647,sjf
6,3.307692308,8,22.38461538,3.307692308,sjf
7,4.590909091,9.636363636,24.09090909,4.590909091,sjf
8,4.0625,8.75,23.125,3.9375,sjf
9,7.235294118,12.11764706,27.11764706,7.235294118,sjf
10,7.8,12.8,26.73333333,7.8,sjf
5,1.764705882,6.941176471,21.35294118,1.352941176,srtn
6,2.615384615,7.307692308,21.61538462,2,srtn
7,3.909090909,8.954545455,23.5,3.272727273,srtn
8,3.4375,7.9375,22.25,2.625,srtn
9,6.705882353,11.82352941,26.58823529,6,srtn
10,7.266666667,12.13333333,26.13333333,6.4,srtn
