Test Name,Program Count,Avg. Wait Time,Avg. Turnaround Time,Avg. Completion Time,Avg. Response Time,Algorithm
Sim_0.json,8,4,8,19,4,fcfs
Sim_1.json,7,2,6,23,2,fcfs
Sim_10.json,8,2,7,21,2,fcfs
Sim_11.json,6,7,14,31,7,fcfs
Sim_12.json,6,2,8,21,2,fcfs
Sim_13.json,10,9,14,27,9,fcfs
Sim_14.json,10,16,21,32,16,fcfs
Sim_15.json,7,1,6,20,1,fcfs
Sim_16.json,10,14,20,31,14,fcfs
Sim_17.json,9,10,15,33,10,fcfs
Sim_18.json,9,2,6,21,2,fcfs
Sim_19.json,8,3,8,24,3,fcfs
Sim_2.json,6,2,6,20,2,fcfs
Sim_20.json,6,2,5,20,2,fcfs
Sim_21.json,8,11,16,30,11,fcfs
Sim_22.json,7,5,9,24,5,fcfs
Sim_23.json,9,5,9,24,5,fcfs
Sim_24.json,10,14,19,31,14,fcfs
Sim_25.json,5,2,8,26,2,fcfs
Sim_26.json,6,6,12,29,5,fcfs
Sim_27.json,7,7,11,27,7,fcfs
Sim_28.json,6,6,11,21,6,fcfs
Sim_29.json,8,3,7,17,2,fcfs
Sim_3.json,8,6,10,22,6,fcfs
Sim_30.json,9,13,19,37,13,fcfs
Sim_31.json,10,10,15,31,10,fcfs
Sim_32.json,7,8,15,28,8,fcfs
Sim_33.json,5,3,9,27,3,fcfs
Sim_34.json,7,4,9,25,4,fcfs
Sim_35.json,7,4,9,27,4,fcfs
Sim_36.json,6,6,10,30,6,fcfs
Sim_37.json,5,2,8,21,2,fcfs
Sim_38.json,9,15,20,33,15,fcfs
Sim_39.json,5,2,6,20,2,fcfs
Sim_4.json,5,5,10,16,5,fcfs
Sim_40.json,9,17,24,46,17,fcfs
Sim_41.json,5,1,6,16,1,fcfs
Sim_42.json,10,15,21,41,15,fcfs
Sim_43.json,9,9,13,27,9,fcfs
Sim_44.json,7,6,11,24,6,fcfs
Sim_45.json,5,3,7,17,3,fcfs
Sim_46.json,7,15,21,30,15,fcfs
Sim_47.json,7,3,7,21,3,fcfs
Sim_48.json,10,5,9,21,5,fcfs
Sim_49.json,9,12,18,32,12,fcfs
Sim_5.json,10,12,18,29,12,fcfs
Sim_50.json,5,1,6,25,1,fcfs
Sim_51.json,8,2,6,23,2,fcfs
Sim_52.json,9,9,14,27,9,fcfs
Sim_53.json,8,7,11,28,7,fcfs
Sim_54.json,7,7,13,25,7,fcfs
Sim_55.json,8,2,6,20,2,fcfs
Sim_56.json,9,6,11,22,6,fcfs
Sim_57.json,7,5,9,22,5,fcfs
Sim_58.json,9,15,20,29,15,fcfs
Sim_59.json,8,5,9,26,5,fcfs
Sim_6.json,7,1,6,21,1,fcfs
Sim_60.json,5,0,6,20,0,fcfs
Sim_61.json,6,1,4,21,1,fcfs
Sim_62.json,5,2,7,23,2,fcfs
Sim_63.json,10,7,11,25,7,fcfs
Sim_64.json,8,9,13,29,9,fcfs
Sim_65.json,10,13,17,31,13,fcfs
Sim_66.json,10,15,20,32,15,fcfs
Sim_67.json,7,7,13,25,7,fcfs
Sim_68.json,7,2,6,20,2,fcfs
Sim_69.json,5,2,7,20,2,fcfs
Sim_7.json,9,8,12,27,8,fcfs
Sim_70.json,8,10,15,27,10,fcfs
Sim_71.json,6,8,14,22,8,fcfs
Sim_72.json,5,2,6,27,2,fcfs
Sim_73.json,6,3,8,17,3,fcfs
Sim_74.json,5,2,7,24,2,fcfs
Sim_75.json,5,4,8,21,4,fcfs
Sim_76.json,8,5,10,26,5,fcfs
Sim_77.json,9,9,14,27,9,fcfs
Sim_78.json,9,15,21,33,15,fcfs
Sim_79.json,6,3,7,22,3,fcfs
Sim_8.json,6,4,9,20,4,fcfs
Sim_80.json,7,2,6,19,2,fcfs
Sim_81.json,10,15,21,40,14,fcfs
Sim_82.json,10,5,10,23,5,fcfs
Sim_83.json,8,2,7,24,2,fcfs
Sim_84.json,5,3,8,18,3,fcfs
Sim_85.json,5,3,9,21,3,fcfs
Sim_86.json,7,9,16,28,9,fcfs
Sim_87.json,8,6,11,27,6,fcfs
Sim_88.json,9,5,8,26,5,fcfs
Sim_89.json,7,5,10,28,5,fcfs
Sim_9.json,7,9,15,30,9,fcfs
Sim_90.json,7,10,16,37,10,fcfs
Sim_91.json,10,13,17,30,12,fcfs
Sim_92.json,9,4,9,25,4,fcfs
Sim_93.json,7,7,11,22,7,fcfs
Sim_94.json,9,10,15,35,10,fcfs
Sim_95.json,6,0,5,21,0,fcfs
Sim_96.json,5,4,10,31,4,fcfs
Sim_97.json,10,5,10,27,5,fcfs
Sim_98.json,8,8,13,27,8,fcfs
Sim_99.json,7,4,9,25,4,fcfs
